Irányítószám;Megye név;Település név
2254;Pest;Szentmártonkáta
9799;Vas;Szentpéterfa
8953;Zala;Szentpéterfölde
4121;Hajdú-Bihar;Szentpéterszeg
8762;Zala;Szentpéterúr
8717;Somogy;Szenyér
8861;Zala;Szepetnek
9125;Győr-Moson-Sopron;Szerecseny
6512;Bács-Kiskun;Szeremle
3900;Borsod-Abaúj-Zemplén;Szerencs
4162;Hajdú-Bihar;Szerep
4163;Hajdú-Bihar;Szerep
9523;Vas;Szergény
2321;Pest;Szigetbecse
2317;Pest;Szigetcsép
2315;Pest;Szigethalom
2015;Pest;Szigetmonostor
2318;Pest;Szigetszentmárton
2310;Pest;Szigetszentmiklós
2319;Pest;Szigetújfalu
7900;Baranya;Szigetvár
8264;Veszprém;Szigliget
3377;Heves;Szihalom
8969;Zala;Szijártóháza
3800;Borsod-Abaúj-Zemplén;Szikszó
9326;Győr-Moson-Sopron;Szil
7664;Baranya;Szilágy
3125;Nógrád;Szilaspogony
9312;Győr-Moson-Sopron;Szilsárkány
8986;Zala;Szilvágy
7811;Baranya;Szilvás
7477;Somogy;Szilvásszentmárton
3348;Heves;Szilvásvárad
3761;Borsod-Abaúj-Zemplén;Szin
3761;Borsod-Abaúj-Zemplén;Szinpetri
3044;Nógrád;Szirák
3711;Borsod-Abaúj-Zemplén;Szirmabesenyő
2628;Pest;Szob
8452;Veszprém;Szőc
9935;Vas;Szőce
2134;Pest;Sződ
2133;Pest;Sződliget
3762;Borsod-Abaúj-Zemplén;Szögliget
7833;Baranya;Szőke
7763;Baranya;Szőkéd
8736;Somogy;Szőkedencs
2624;Pest;Szokolya
8625;Somogy;Szólád
5000;Jász-Nagykun-Szolnok;Szolnok
5008;Jász-Nagykun-Szolnok;Szolnok
3757;Borsod-Abaúj-Zemplén;Szőlősardó
8692;Somogy;Szőlősgyörök
9700;Vas;Szombathely
9707;Vas;Szombathely
9719;Vas;Szombathely
2896;Komárom-Esztergom;Szomód
3411;Borsod-Abaúj-Zemplén;Szomolya
2822;Komárom-Esztergom;Szomor
7976;Baranya;Szörény
4441;Szabolcs-Szatmár-Bereg;Szorgalmatos
7285;Somogy;Szorosad
3341;Heves;Szúcs
3034;Heves;Szűcsi
2699;Nógrád;Szügy
3154;Nógrád;Szuha
3726;Borsod-Abaúj-Zemplén;Szuhafő
3731;Borsod-Abaúj-Zemplén;Szuhakálló
3734;Borsod-Abaúj-Zemplén;Szuhogy
7932;Baranya;Szulimán
7539;Somogy;Szulok
7735;Baranya;Szűr
3064;Nógrád;Szurdokpüspöki
8660;Somogy;Tab
8088;Fejér;Tabajd
6224;Bács-Kiskun;Tabdi
2381;Pest;Táborfalva
8121;Fejér;Tác
8272;Veszprém;Tagyon
2021;Pest;Tahitótfalu
2022;Pest;Tahitótfalu
8541;Veszprém;Takácsi
4845;Szabolcs-Szatmár-Bereg;Tákos
2335;Pest;Taksony
3926;Borsod-Abaúj-Zemplén;Taktabáj
3922;Borsod-Abaúj-Zemplén;Taktaharkány
3924;Borsod-Abaúj-Zemplén;Taktakenéz
3921;Borsod-Abaúj-Zemplén;Taktaszada
8295;Veszprém;Taliándörögd
3907;Borsod-Abaúj-Zemplén;Tállya
7090;Tolna;Tamási
7091;Tolna;Tamási
9762;Vas;Tanakajd
9095;Győr-Moson-Sopron;Táp
2764;Pest;Tápióbicske
2767;Pest;Tápiógyörgye
2253;Pest;Tápióság
2251;Pest;Tápiószecső
2766;Pest;Tápiószele
2711;Pest;Tápiószentmárton
2769;Pest;Tápiószőlős
9761;Vas;Táplánszentkereszt
8297;Veszprém;Tapolca
8300;Veszprém;Tapolca
8718;Somogy;Tapsony
9094;Győr-Moson-Sopron;Tápszentmiklós
3073;Nógrád;Tar
7514;Somogy;Tarany
3915;Borsod-Abaúj-Zemplén;Tarcal
3416;Borsod-Abaúj-Zemplén;Tard
3644;Borsod-Abaúj-Zemplén;Tardona
2834;Komárom-Esztergom;Tardos
5641;Békés;Tarhos
2831;Komárom-Esztergom;Tarján
9092;Győr-Moson-Sopron;Tarjánpuszta
2945;Komárom-Esztergom;Tárkány
3369;Heves;Tarnabod
3258;Heves;Tarnalelesz
3284;Heves;Tarnaméra
3294;Heves;Tarnaörs
3331;Heves;Tarnaszentmária
3382;Heves;Tarnaszentmiklós
3283;Heves;Tarnazsadány
2461;Pest;Tárnok
9165;Győr-Moson-Sopron;Tárnokréti
4931;Szabolcs-Szatmár-Bereg;Tarpa
7362;Baranya;Tarrós
8696;Somogy;Táska
6098;Bács-Kiskun;Tass
7261;Somogy;Taszár
2534;Komárom-Esztergom;Tát
2835;Komárom-Esztergom;Tata
2890;Komárom-Esztergom;Tata
2800;Komárom-Esztergom;Tatabánya
6451;Bács-Kiskun;Tataháza
2375;Pest;Tatárszentgyörgy
6236;Bács-Kiskun;Tázlár
4243;Hajdú-Bihar;Téglás
7381;Baranya;Tékes
7973;Baranya;Teklafalu
9812;Vas;Telekes
5675;Békés;Telekgerendás
8626;Somogy;Teleki
2089;Pest;Telki
3896;Borsod-Abaúj-Zemplén;Telkibánya
7054;Tolna;Tengelic
7834;Baranya;Tengeri
8668;Somogy;Tengőd
3359;Heves;Tenk
9111;Győr-Moson-Sopron;Tényő
4132;Hajdú-Bihar;Tépe
4342;Szabolcs-Szatmár-Bereg;Terem
2696;Nógrád;Terény
2652;Nógrád;Tereske
3757;Borsod-Abaúj-Zemplén;Teresztenye
3334;Heves;Terpes
8109;Veszprém;Tés
2635;Pest;Tésa
7843;Baranya;Tésenfa
7834;Baranya;Téseny
8991;Zala;Teskánd
9100;Győr-Moson-Sopron;Tét
4184;Hajdú-Bihar;Tetétlen
7181;Tolna;Tevel
3423;Borsod-Abaúj-Zemplén;Tibolddaróc
4353;Szabolcs-Szatmár-Bereg;Tiborszállás
8237;Veszprém;Tihany
8731;Somogy;Tikos
8782;Zala;Tilaj
4466;Szabolcs-Szatmár-Bereg;Timár
2086;Pest;Tinnye
4833;Szabolcs-Szatmár-Bereg;Tiszaadony
6066;Bács-Kiskun;Tiszaalpár
6067;Bács-Kiskun;Tiszaalpár
3465;Borsod-Abaúj-Zemplén;Tiszabábolna
4951;Szabolcs-Szatmár-Bereg;Tiszabecs
4474;Szabolcs-Szatmár-Bereg;Tiszabercel
4624;Szabolcs-Szatmár-Bereg;Tiszabezdéd
5232;Jász-Nagykun-Szolnok;Tiszabő
5235;Jász-Nagykun-Szolnok;Tiszabura
4947;Szabolcs-Szatmár-Bereg;Tiszacsécse
4066;Hajdú-Bihar;Tiszacsege
3972;Borsod-Abaúj-Zemplén;Tiszacsermely
4455;Szabolcs-Szatmár-Bereg;Tiszadada
5243;Jász-Nagykun-Szolnok;Tiszaderzs
4456;Szabolcs-Szatmár-Bereg;Tiszadob
3466;Borsod-Abaúj-Zemplén;Tiszadorogma
4446;Szabolcs-Szatmár-Bereg;Tiszaeszlár
4464;Szabolcs-Szatmár-Bereg;Tiszaeszlár
5430;Jász-Nagykun-Szolnok;Tiszaföldvár
5461;Jász-Nagykun-Szolnok;Tiszaföldvár
5350;Jász-Nagykun-Szolnok;Tiszafüred
5358;Jász-Nagykun-Szolnok;Tiszafüred
5359;Jász-Nagykun-Szolnok;Tiszafüred
5233;Jász-Nagykun-Szolnok;Tiszagyenda
4097;Hajdú-Bihar;Tiszagyulaháza
5361;Jász-Nagykun-Szolnok;Tiszaigar
5464;Jász-Nagykun-Szolnok;Tiszainoka
5094;Jász-Nagykun-Szolnok;Tiszajenő
4493;Szabolcs-Szatmár-Bereg;Tiszakanyár
3971;Borsod-Abaúj-Zemplén;Tiszakarád
6060;Bács-Kiskun;Tiszakécske
6062;Bács-Kiskun;Tiszakécske
4834;Szabolcs-Szatmár-Bereg;Tiszakerecseny
