Irányítószám;Megye név;Település név
9421;Győr-Moson-Sopron;Fertőrákos
9444;Győr-Moson-Sopron;Fertőszentmiklós
9436;Győr-Moson-Sopron;Fertőszéplak
7282;Somogy;Fiad
3994;Borsod-Abaúj-Zemplén;Filkeháza
8835;Zala;Fityeház
6331;Bács-Kiskun;Foktő
6922;Csongrád;Földeák
4177;Hajdú-Bihar;Földes
4090;Hajdú-Bihar;Folyás
7271;Somogy;Fonó
3893;Borsod-Abaúj-Zemplén;Fony
8732;Somogy;Főnyed
8640;Somogy;Fonyód
8644;Somogy;Fonyód
6793;Csongrád;Forráskút
3849;Borsod-Abaúj-Zemplén;Forró
2151;Pest;Fót
8157;Fejér;Füle
4964;Szabolcs-Szatmár-Bereg;Fülesd
3864;Borsod-Abaúj-Zemplén;Fulókércs
4266;Hajdú-Bihar;Fülöp
6042;Bács-Kiskun;Fülöpháza
6116;Bács-Kiskun;Fülöpjakab
6085;Bács-Kiskun;Fülöpszállás
4754;Szabolcs-Szatmár-Bereg;Fülpösdaróc
7087;Tolna;Fürged
4141;Hajdú-Bihar;Furta
3996;Borsod-Abaúj-Zemplén;Füzér
3994;Borsod-Abaúj-Zemplén;Füzérkajata
3997;Borsod-Abaúj-Zemplén;Füzérkomlós
3993;Borsod-Abaúj-Zemplén;Füzérradvány
3390;Heves;Füzesabony
5525;Békés;Füzesgyarmat
8777;Zala;Füzvölgy
4122;Hajdú-Bihar;Gáborján
8969;Zala;Gáborjánháza
4972;Szabolcs-Szatmár-Bereg;Gacsály
7276;Somogy;Gadács
8716;Somogy;Gadány
3815;Borsod-Abaúj-Zemplén;Gadna
5932;Békés;Gádoros
3837;Borsod-Abaúj-Zemplén;Gagyapáti
3817;Borsod-Abaúj-Zemplén;Gagybátor
3816;Borsod-Abaúj-Zemplén;Gagyvendégi
8754;Zala;Galambok
2686;Nógrád;Galgaguta
2681;Pest;Galgagyörk
2193;Pest;Galgahévíz
2183;Pest;Galgamácsa
7473;Somogy;Gálosfa
3752;Borsod-Abaúj-Zemplén;Galvács
8685;Somogy;Gamás
8597;Veszprém;Ganna
8082;Fejér;Gánt
6522;Bács-Kiskun;Gara
3067;Nógrád;Garáb
8747;Zala;Garabonc
3873;Borsod-Abaúj-Zemplén;Garadna
4976;Szabolcs-Szatmár-Bereg;Garbolc
2483;Fejér;Gárdony
2484;Fejér;Gárdony
2485;Fejér;Gárdony
7812;Baranya;Garé
9952;Vas;Gasztony
6111;Bács-Kiskun;Gátér
4471;Szabolcs-Szatmár-Bereg;Gávavencsellő
4472;Szabolcs-Szatmár-Bereg;Gávavencsellő
4754;Szabolcs-Szatmár-Bereg;Géberjén
8543;Veszprém;Gecse
6334;Bács-Kiskun;Géderlak
4517;Szabolcs-Szatmár-Bereg;Gégény
3444;Borsod-Abaúj-Zemplén;Gelej
4935;Szabolcs-Szatmár-Bereg;Gelénes
8981;Zala;Gellénháza
8774;Zala;Gelse
8774;Zala;Gelsesziget
4567;Szabolcs-Szatmár-Bereg;Gemzse
9721;Vas;Gencsapáti
9672;Vas;Gérce
7951;Baranya;Gerde
5925;Békés;Gerendás
7362;Baranya;Gerényes
7733;Baranya;Geresdlak
7134;Tolna;Gerjen
9813;Vas;Gersekarát
5734;Békés;Geszt
3715;Borsod-Abaúj-Zemplén;Gesztely
3923;Borsod-Abaúj-Zemplén;Gesztely
4232;Szabolcs-Szatmár-Bereg;Geszteréd
8762;Zala;Gétye
8435;Veszprém;Gic
7527;Somogy;Gige
7954;Baranya;Gilvánfa
3578;Borsod-Abaúj-Zemplén;Girincs
2131;Pest;Göd
2132;Pest;Göd
2100;Pest;Gödöllő
7385;Baranya;Gödre
7386;Baranya;Gödre
8346;Veszprém;Gógánfa
7272;Somogy;Gölle
3906;Borsod-Abaúj-Zemplén;Golop
2217;Pest;Gomba
8984;Zala;Gombosszeg
3728;Borsod-Abaúj-Zemplén;Gömörszőlős
3895;Borsod-Abaúj-Zemplén;Gönc
3894;Borsod-Abaúj-Zemplén;Göncruszka
9071;Győr-Moson-Sopron;Gönyű
9625;Vas;Gór
4075;Hajdú-Bihar;Görbeháza
7833;Baranya;Görcsöny
7728;Baranya;Görcsönydoboka
7853;Baranya;Gordisa
7553;Somogy;Görgeteg
8913;Zala;Gősfa
8978;Zala;Gosztola
7162;Tolna;Grábóc
4842;Szabolcs-Szatmár-Bereg;Gulács
8951;Zala;Gutorfölde
2360;Pest;Gyál
9474;Győr-Moson-Sopron;Gyalóka
9774;Vas;Gyanógeregye
9126;Győr-Moson-Sopron;Gyarmat
8851;Somogy;Gyékényes
8315;Zala;Gyenesdiás
8473;Veszprém;Gyepükaján
2821;Komárom-Esztergom;Gyermely
7668;Baranya;Gyód
5500;Békés;Gyomaendrőd
5502;Békés;Gyomaendrőd
9124;Győr-Moson-Sopron;Gyömöre
2230;Pest;Gyömrő
7954;Baranya;Gyöngyfa
3200;Heves;Gyöngyös
3221;Heves;Gyöngyös
3232;Heves;Gyöngyös
3233;Heves;Gyöngyös
9723;Vas;Gyöngyösfalu
3212;Heves;Gyöngyöshalász
7972;Baranya;Gyöngyösmellék
3211;Heves;Gyöngyösoroszi
3035;Heves;Gyöngyöspata
3231;Heves;Gyöngyössolymos
3036;Heves;Gyöngyöstarján
7064;Tolna;Gyönk
9000;Győr-Moson-Sopron;Győr
9011;Győr-Moson-Sopron;Győr
9012;Győr-Moson-Sopron;Győr
9019;Győr-Moson-Sopron;Győr
9021;Győr-Moson-Sopron;Győr
9022;Győr-Moson-Sopron;Győr
9023;Győr-Moson-Sopron;Győr
9024;Győr-Moson-Sopron;Győr
9025;Győr-Moson-Sopron;Győr
9026;Győr-Moson-Sopron;Győr
9027;Győr-Moson-Sopron;Győr
9028;Győr-Moson-Sopron;Győr
9029;Győr-Moson-Sopron;Győr
9030;Győr-Moson-Sopron;Győr
9093;Győr-Moson-Sopron;Győrasszonyfa
7352;Tolna;Györe
3954;Borsod-Abaúj-Zemplén;Györgytarló
7045;Tolna;Györköny
9173;Győr-Moson-Sopron;Győrladamér
9363;Győr-Moson-Sopron;Gyóró
4625;Szabolcs-Szatmár-Bereg;Győröcske
9084;Győr-Moson-Sopron;Győrság
9161;Győr-Moson-Sopron;Győrsövényház
9121;Győr-Moson-Sopron;Győrszemere
4752;Szabolcs-Szatmár-Bereg;Győrtelek
9081;Győr-Moson-Sopron;Győrújbarát
9171;Győr-Moson-Sopron;Győrújfalu
9821;Vas;Győrvár
9172;Győr-Moson-Sopron;Győrzámoly
8692;Somogy;Gyugy
4733;Szabolcs-Szatmár-Bereg;Gyügye
5700;Békés;Gyula
5703;Békés;Gyula
5711;Békés;Gyula
4545;Szabolcs-Szatmár-Bereg;Gyulaháza
7227;Tolna;Gyulaj
8286;Veszprém;Gyulakeszi
4813;Szabolcs-Szatmár-Bereg;Gyüre
2464;Fejér;Gyúró
8932;Zala;Gyűrűs
8694;Somogy;Hács
8992;Zala;Hagyárosbörönd
8771;Zala;Hahót
4273;Hajdú-Bihar;Hajdúbagos
4074;Hajdú-Bihar;Hajdúböszörmény
4086;Hajdú-Bihar;Hajdúböszörmény
4220;Hajdú-Bihar;Hajdúböszörmény
4224;Hajdú-Bihar;Hajdúböszörmény
4087;Hajdú-Bihar;Hajdúdorog
4242;Hajdú-Bihar;Hajdúhadház
4080;Hajdú-Bihar;Hajdúnánás
4085;Hajdú-Bihar;Hajdúnánás
4251;Hajdú-Bihar;Hajdúsámson
4200;Hajdú-Bihar;Hajdúszoboszló
4212;Hajdú-Bihar;Hajdúszovát
7473;Somogy;Hajmás
8192;Veszprém;Hajmáskér
6344;Bács-Kiskun;Hajós
9814;Vas;Halastó
9228;Győr-Moson-Sopron;Halászi
2314;Pest;Halásztelek
8452;Veszprém;Halimba
3842;Borsod-Abaúj-Zemplén;Halmaj
3273;Heves;Halmajugra
9917;Vas;Halogy
3795;Borsod-Abaúj-Zemplén;Hangács
3626;Borsod-Abaúj-Zemplén;Hangony
2434;Fejér;Hantos
9784;Vas;Harasztifalu
7172;Tolna;Harc
9422;Győr-Moson-Sopron;Harka
6136;Bács-Kiskun;Harkakötöny
7815;Baranya;Harkány
7585;Somogy;Háromfa
3936;Borsod-Abaúj-Zemplén;Háromhuta
3555;Borsod-Abaúj-Zemplén;Harsány
8442;Veszprém;Hárskút
6326;Bács-Kiskun;Harta
6327;Bács-Kiskun;Harta
7745;Baranya;Hásságy
3000;Heves;Hatvan
9178;Győr-Moson-Sopron;Hédervár
7533;Somogy;Hedrehely
8296;Veszprém;Hegyesd
9222;Győr-Moson-Sopron;Hegyeshalom
9631;Vas;Hegyfalu
9915;Vas;Hegyháthodász
7348;Baranya;Hegyhátmaróc
9915;Vas;Hegyhátsál
9934;Vas;Hegyhátszentjakab
9931;Vas;Hegyhátszentmárton
9826;Vas;Hegyhátszentpéter
9437;Győr-Moson-Sopron;Hegykő
8265;Veszprém;Hegymagas
3786;Borsod-Abaúj-Zemplén;Hegymeg
7837;Baranya;Hegyszentmárton
3041;Nógrád;Héhalom
3892;Borsod-Abaúj-Zemplén;Hejce
3593;Borsod-Abaúj-Zemplén;Hejőbába
3597;Borsod-Abaúj-Zemplén;Hejőkeresztúr
3588;Borsod-Abaúj-Zemplén;Hejőkürt
3594;Borsod-Abaúj-Zemplén;Hejőpapi
3595;Borsod-Abaúj-Zemplén;Hejőszalonta
7683;Baranya;Helesfa
6034;Bács-Kiskun;Helvécia
4123;Hajdú-Bihar;Hencida
7532;Somogy;Hencse
2053;Pest;Herceghalom
3958;Borsod-Abaúj-Zemplén;Hercegkút
6525;Bács-Kiskun;Hercegszántó
3011;Heves;Heréd
2832;Komárom-Esztergom;Héreg
2677;Nógrád;Herencsény
8440;Veszprém;Herend
7587;Somogy;Heresznye
4735;Szabolcs-Szatmár-Bereg;Hermánszeg
2376;Pest;Hernád
3853;Borsod-Abaúj-Zemplén;Hernádbűd
3887;Borsod-Abaúj-Zemplén;Hernádcéce
3563;Borsod-Abaúj-Zemplén;Hernádkak
3846;Borsod-Abaúj-Zemplén;Hernádkércs
3564;Borsod-Abaúj-Zemplén;Hernádnémeti
3874;Borsod-Abaúj-Zemplén;Hernádpetri
3852;Borsod-Abaúj-Zemplén;Hernádszentandrás
3875;Borsod-Abaúj-Zemplén;Hernádszurdok
3874;Borsod-Abaúj-Zemplén;Hernádvécse
8957;Zala;Hernyék
3655;Borsod-Abaúj-Zemplén;Hét
4843;Szabolcs-Szatmár-Bereg;Hetefejércse
7432;Somogy;Hetes
7681;Baranya;Hetvehely
8344;Veszprém;Hetyefő
3360;Heves;Heves
3322;Heves;Hevesaranyos
3383;Heves;Hevesvezekény
8380;Zala;Hévíz
2192;Pest;Hévízgyörk
7696;Baranya;Hidas
3876;Borsod-Abaúj-Zemplén;Hidasnémeti
8247;Veszprém;Hidegkút
9491;Győr-Moson-Sopron;Hidegség
3768;Borsod-Abaúj-Zemplén;Hidvégardó
7735;Baranya;Himesháza
9362;Győr-Moson-Sopron;Himod
7838;Baranya;Hirics
7971;Baranya;Hobol
4334;Szabolcs-Szatmár-Bereg;Hodász
6800;Csongrád;Hódmezővásárhely
6806;Csongrád;Hódmezővásárhely
7191;Tolna;Hőgyész
8731;Somogy;Hollád
3999;Borsod-Abaúj-Zemplén;Hollóháza
3176;Nógrád;Hollókő
8563;Veszprém;Homokbödöge
8777;Zala;Homokkomárom
6341;Bács-Kiskun;Homokmégy
7537;Somogy;Homokszentgyörgy
7716;Baranya;Homorúd
3812;Borsod-Abaúj-Zemplén;Homrogd
2647;Nógrád;Hont
2658;Nógrád;Horpács
3014;Heves;Hort
4071;Hajdú-Bihar;Hortobágy
7935;Baranya;Horváthertelend
9796;Vas;Horvátlövő
9733;Vas;Horvátzsidány
7694;Baranya;Hosszúhetény
4274;Hajdú-Bihar;Hosszúpályi
9676;Vas;Hosszúpereszteg
8716;Somogy;Hosszúvíz
8777;Zala;Hosszúvölgy
8475;Veszprém;Hosztót
8991;Zala;Hottó
9361;Győr-Moson-Sopron;Hövej
2672;Nógrád;Hugyag
5555;Békés;Hunya
5063;Jász-Nagykun-Szolnok;Hunyadfalva
7678;Baranya;Husztót
7935;Baranya;Ibafa
8984;Zala;Iborfia
4484;Szabolcs-Szatmár-Bereg;Ibrány
7275;Somogy;Igal
7015;Fejér;Igar
7016;Fejér;Igar
3459;Borsod-Abaúj-Zemplén;Igrici
8726;Somogy;Iharos
8725;Somogy;Iharosberény
9756;Vas;Ikervár
2181;Pest;Iklad
