Irányítószám;Megye név;Település név
8127;Fejér;Aba
8128;Fejér;Aba
5241;Jász-Nagykun-Szolnok;Abádszalók
7678;Baranya;Abaliget
3261;Heves;Abasár
3882;Borsod-Abaúj-Zemplén;Abaújalpár
3882;Borsod-Abaúj-Zemplén;Abaújkér
3815;Borsod-Abaúj-Zemplén;Abaújlak
3881;Borsod-Abaúj-Zemplén;Abaújszántó
3809;Borsod-Abaúj-Zemplén;Abaújszolnok
3898;Borsod-Abaúj-Zemplén;Abaújvár
9151;Győr-Moson-Sopron;Abda
3753;Borsod-Abaúj-Zemplén;Abod
2740;Pest;Abony
8256;Veszprém;Ábrahámhegy
2941;Komárom-Esztergom;Ács
2683;Pest;Acsa
9746;Vas;Acsád
9168;Győr-Moson-Sopron;Acsalag
2887;Komárom-Esztergom;Ácsteszér
3292;Heves;Adács
8653;Somogy;Ádánd
8561;Veszprém;Adásztevel
2457;Fejér;Adony
8497;Veszprém;Adorjánháza
7841;Baranya;Adorjás
7381;Baranya;Ág
6076;Bács-Kiskun;Ágasegyháza
9423;Győr-Moson-Sopron;Ágfalva
3759;Borsod-Abaúj-Zemplén;Aggtelek
9441;Győr-Moson-Sopron;Agyagosszergény
4524;Szabolcs-Szatmár-Bereg;Ajak
8400;Veszprém;Ajka
8447;Veszprém;Ajka
8448;Veszprém;Ajka
8451;Veszprém;Ajka
2862;Komárom-Esztergom;Aka
6221;Bács-Kiskun;Akasztó
3779;Borsod-Abaúj-Zemplén;Alacska
7011;Fejér;Alap
5142;Jász-Nagykun-Szolnok;Alattyán
2730;Pest;Albertirsa
8087;Fejér;Alcsútdoboz
3353;Heves;Aldebrő
6750;Csongrád;Algyő
8921;Zala;Alibánfa
7934;Baranya;Almamellék
2931;Komárom-Esztergom;Almásfüzitő
8935;Zala;Almásháza
5747;Békés;Almáskamarás
7932;Baranya;Almáskeresztúr
4285;Hajdú-Bihar;Álmosd
3985;Borsod-Abaúj-Zemplén;Alsóberecki
7443;Somogy;Alsóbogát
3717;Borsod-Abaúj-Zemplén;Alsódobsza
3837;Borsod-Abaúj-Zemplén;Alsógagy
7345;Baranya;Alsómocsolád
7147;Tolna;Alsónána
2351;Pest;Alsónémedi
8924;Zala;Alsónemesapáti
7148;Tolna;Alsónyék
8226;Veszprém;Alsóörs
8394;Zala;Alsópáhok
2617;Nógrád;Alsópetény
8767;Zala;Alsórajk
3989;Borsod-Abaúj-Zemplén;Alsóregmec
8973;Zala;Alsószenterzsébet
7012;Fejér;Alsószentiván
7826;Baranya;Alsószentmárton
9983;Vas;Alsószölnök
3726;Borsod-Abaúj-Zemplén;Alsószuha
3735;Borsod-Abaúj-Zemplén;Alsótelekes
3069;Nógrád;Alsótold
9842;Vas;Alsóújlak
3811;Borsod-Abaúj-Zemplén;Alsóvadász
3571;Borsod-Abaúj-Zemplén;Alsózsolca
6916;Csongrád;Ambrózfalva
4546;Szabolcs-Szatmár-Bereg;Anarcs
8675;Somogy;Andocs
3399;Heves;Andornaktálya
9811;Vas;Andrásfa
2529;Komárom-Esztergom;Annavölgy
8477;Veszprém;Apácatorna
4553;Szabolcs-Szatmár-Bereg;Apagy
2345;Pest;Apaj
7186;Tolna;Aparhant
6931;Csongrád;Apátfalva
9982;Vas;Apátistvánfalva
7720;Baranya;Apátvarasd
3032;Heves;Apc
2338;Pest;Áporka
6088;Bács-Kiskun;Apostag
4634;Szabolcs-Szatmár-Bereg;Aranyosapáti
7671;Baranya;Aranyosgadány
3885;Borsod-Abaúj-Zemplén;Arka
3663;Borsod-Abaúj-Zemplén;Arló
